,w/c_ratio,fiber,concentration,specific_mass,elastic_modulus,fiber_tensile_strength,toughness_factor
517,0.47,6,1.73,2.75,95.0,3300,5.467
518,0.36,6,1.77,2.75,95.0,3300,5.081
519,0.29,6,1.38,2.75,95.0,3300,5.02
520,0.62,8,0.55,0.98,5.0,570,5.098
521,0.62,1,0.81,7.85,210.0,1000,5.142
522,0.52,7,0.83,1.3,39.0,1600,4.783
523,0.49,6,1.95,2.75,95.0,3300,5.385
524,0.54,1,1.09,7.85,210.0,1000,5.04
525,0.56,1,0.53,7.85,210.0,1000,5.829
526,0.66,2,0.81,0.91,7.0,550,4.898
527,0.63,1,0.72,7.85,210.0,1000,4.911
528,0.38,1,1.42,7.85,210.0,1000,6.883
529,0.5,1,0.58,7.85,210.0,1000,4.917
530,0.33,6,1.49,2.75,95.0,3300,4.918
531,0.37,6,1.63,2.75,95.0,3300,5.005
532,0.46,1,0.54,7.85,210.0,1000,4.933
533,0.66,1,0.64,7.85,210.0,1000,5.503
534,0.66,1,0.46,7.85,210.0,1000,4.967
535,0.54,3,1.09,0.91,3.5,500,5.482
536,0.51,1,0.61,7.85,210.0,1000,5.375
537,0.36,6,1.77,2.75,95.0,3300,5.081
538,0.58,2,0.76,0.91,7.0,550,4.886
539,0.66,2,0.56,0.91,7.0,550,5.142
540,0.66,2,0.81,0.91,7.0,550,4.898
541,0.54,1,0.99,7.85,210.0,1000,5.484
542,0.31,1,1.73,7.85,210.0,1000,6.727
543,0.32,6,2.0,2.75,95.0,3300,5.269
544,0.62,6,1.25,2.75,95.0,3300,4.853
545,0.53,6,1.56,2.75,95.0,3300,5.672
546,0.63,1,0.91,7.85,210.0,1000,6.104
547,0.63,1,1.2,7.85,210.0,1000,5.761
548,0.62,1,0.81,7.85,210.0,1000,5.142
549,0.64,2,0.45,0.91,7.0,550,5.929
550,0.64,1,1.11,7.85,210.0,1000,5.581
551,0.6,1,0.77,7.85,210.0,1000,5.488
552,0.53,6,1.56,2.75,95.0,3300,5.672
553,0.39,6,1.58,2.75,95.0,3300,5.484
554,0.6,1,0.97,7.85,210.0,1000,5.364
555,0.35,6,1.15,2.75,95.0,3300,5.528
556,0.29,6,1.74,2.75,95.0,3300,5.785
557,0.63,1,0.96,7.85,210.0,1000,5.638
558,0.62,1,0.96,7.85,210.0,1000,6.704
559,0.62,6,1.25,2.75,95.0,3300,4.853
560,0.63,1,1.51,7.85,210.0,1000,6.332
561,0.6,1,0.77,7.85,210.0,1000,5.488
562,0.63,1,0.72,7.85,210.0,1000,4.911
563,0.63,1,0.91,7.85,210.0,1000,6.104
564,0.66,1,1.28,7.85,210.0,1000,5.693
565,0.3,2,0.47,0.91,7.0,550,5.047
566,0.66,1,0.64,7.85,210.0,1000,5.503
567,0.53,1,1.0,7.85,210.0,1000,5.929
568,0.58,1,1.2,7.85,210.0,1000,6.323
569,0.61,1,1.37,7.85,210.0,1000,5.766
570,0.54,1,0.99,7.85,210.0,1000,5.484
571,0.62,1,0.96,7.85,210.0,1000,6.704
572,0.52,1,1.44,7.85,210.0,1000,5.697
573,0.29,6,1.38,2.75,95.0,3300,5.02
574,0.3,6,1.68,2.75,95.0,3300,5.277
575,0.5,1,1.01,7.85,210.0,1000,6.342
576,0.38,6,1.26,2.75,95.0,3300,6.283
577,0.66,1,0.64,7.85,210.0,1000,5.503
578,0.52,2,0.58,0.91,7.0,550,5.115
579,0.37,6,1.63,2.75,95.0,3300,5.005
580,0.58,1,1.2,7.85,210.0,1000,6.323
581,0.5,6,1.66,2.75,95.0,3300,4.862
582,0.59,6,1.67,2.75,95.0,3300,5.991
583,0.31,6,1.52,2.75,95.0,3300,5.118
584,0.61,6,1.59,2.75,95.0,3300,4.84
585,0.39,6,1.29,2.75,95.0,3300,5.521
586,0.58,1,1.46,7.85,210.0,1000,5.53
587,0.6,1,0.97,7.85,210.0,1000,5.364
588,0.36,6,1.77,2.75,95.0,3300,5.081
589,0.53,6,1.56,2.75,95.0,3300,5.672
590,0.66,1,0.84,7.85,210.0,1000,5.932
591,0.63,1,1.18,7.85,210.0,1000,5.613
592,0.38,6,1.63,2.75,95.0,3300,5.891
593,0.4,6,1.91,2.75,95.0,3300,6.225
594,0.33,2,0.49,0.91,7.0,550,5.196
595,0.52,2,0.58,0.91,7.0,550,5.115
596,0.3,7,1.31,1.3,39.0,1600,4.863
597,0.51,1,0.61,7.85,210.0,1000,5.375
598,0.57,1,0.95,7.85,210.0,1000,5.408
599,0.63,1,1.2,7.85,210.0,1000,6.947
600,0.66,1,1.22,7.85,210.0,1000,5.687
601,0.44,6,1.39,2.75,95.0,3300,5.574
602,0.61,1,0.91,7.85,210.0,1000,6.096
603,0.39,6,1.29,2.75,95.0,3300,5.521
604,0.31,6,1.38,2.75,95.0,3300,5.376
605,0.5,1,1.01,7.85,210.0,1000,6.342
606,0.62,6,1.25,2.75,95.0,3300,4.853
607,0.42,1,1.28,7.85,210.0,1000,5.649
608,0.59,6,1.67,2.75,95.0,3300,5.991
609,0.64,1,1.11,7.85,210.0,1000,5.581
610,0.41,7,1.7,1.3,39.0,1600,4.841
611,0.41,9,1.15,1.14,3.15,550,5.138
612,0.4,6,1.75,2.75,95.0,3300,5.787
613,0.46,6,1.31,2.75,95.0,3300,5.557
614,0.37,1,0.92,7.85,210.0,1000,4.929
615,0.66,1,1.37,7.85,210.0,1000,5.767
616,0.49,6,1.95,2.75,95.0,3300,5.385
617,0.64,2,0.84,0.91,7.0,550,4.841
618,0.54,1,1.09,7.85,210.0,1000,5.04
619,0.52,7,0.83,1.3,39.0,1600,4.783
620,0.46,6,1.79,2.75,95.0,3300,5.277
621,0.52,7,0.83,1.3,39.0,1600,4.783
622,0.56,1,0.7,7.85,210.0,1000,4.933
623,0.48,1,0.64,7.85,210.0,1000,5.869
624,0.66,1,0.64,7.85,210.0,1000,5.503
625,0.64,2,0.45,0.91,7.0,550,5.929
626,0.6,1,0.77,7.85,210.0,1000,5.488
627,0.65,1,0.83,7.85,210.0,1000,5.074
628,0.38,6,1.84,2.75,95.0,3300,4.834
629,0.35,6,1.15,2.75,95.0,3300,5.528
630,0.4,7,1.34,1.3,39.0,1600,4.818
631,0.57,3,0.6,0.91,3.5,500,4.879
632,0.53,6,1.56,2.75,95.0,3300,5.672
633,0.62,1,0.64,7.85,210.0,1000,5.192
634,0.61,1,0.91,7.85,210.0,1000,6.096
635,0.63,1,1.18,7.85,210.0,1000,5.613
636,0.63,1,1.87,7.85,210.0,1000,6.504
637,0.64,2,0.45,0.91,7.0,550,5.929
638,0.4,7,1.34,1.3,39.0,1600,4.818
639,0.54,1,0.99,7.85,210.0,1000,5.484
640,0.4,1,1.16,7.85,210.0,1000,5.902
641,0.44,6,1.39,2.75,95.0,3300,5.574
642,0.66,1,1.03,7.85,210.0,1000,6.021
643,0.59,6,1.67,2.75,95.0,3300,5.991
644,0.38,6,1.84,2.75,95.0,3300,4.834
645,0.41,6,0.92,2.75,95.0,3300,5.433
646,0.33,6,1.31,2.75,95.0,3300,4.978
647,0.56,1,0.75,7.85,210.0,1000,6.257
648,0.64,1,0.95,7.85,210.0,1000,6.212
649,0.41,9,1.15,1.14,3.15,550,5.138
650,0.34,6,1.88,2.75,95.0,3300,6.014
651,0.33,6,1.49,2.75,95.0,3300,4.918
652,0.44,1,0.9,7.85,210.0,1000,5.313
653,0.66,1,0.56,7.85,210.0,1000,5.289
654,0.3,7,1.31,1.3,39.0,1600,4.863
655,0.53,6,1.56,2.75,95.0,3300,5.672
656,0.37,6,1.63,2.75,95.0,3300,5.005
657,0.63,1,0.65,7.85,210.0,1000,5.0
658,0.44,1,1.1,7.85,210.0,1000,6.159
659,0.66,1,1.37,7.85,210.0,1000,5.767
660,0.39,6,1.29,2.75,95.0,3300,5.521
661,0.51,1,0.61,7.85,210.0,1000,5.375
662,0.3,2,0.47,0.91,7.0,550,5.047
663,0.63,1,0.72,7.85,210.0,1000,4.911
664,0.58,1,1.46,7.85,210.0,1000,5.53
665,0.48,1,0.64,7.85,210.0,1000,5.869
666,0.3,1,1.54,7.85,210.0,1000,5.639
667,0.3,2,0.47,0.91,7.0,550,5.047
668,0.3,6,1.68,2.75,95.0,3300,5.277
669,0.3,6,1.68,2.75,95.0,3300,5.277
670,0.41,6,0.92,2.75,95.0,3300,5.433
671,0.57,1,0.95,7.85,210.0,1000,5.408
672,0.59,6,1.67,2.75,95.0,3300,5.991
673,0.3,6,1.87,2.75,95.0,3300,6.493
674,0.66,1,0.67,7.85,210.0,1000,5.691
675,0.5,1,1.01,7.85,210.0,1000,6.342
676,0.47,6,1.73,2.75,95.0,3300,5.467
677,0.48,1,0.64,7.85,210.0,1000,5.869
678,0.63,1,0.91,7.85,210.0,1000,6.104
679,0.33,6,1.49,2.75,95.0,3300,4.918
680,0.4,6,1.91,2.75,95.0,3300,6.225
681,0.55,2,0.71,0.91,7.0,550,5.225
682,0.29,6,1.74,2.75,95.0,3300,5.785
683,0.61,1,0.91,7.85,210.0,1000,6.096
684,0.51,1,0.61,7.85,210.0,1000,5.375
685,0.32,6,2.0,2.75,95.0,3300,5.269
686,0.66,1,0.97,7.85,210.0,1000,5.095
687,0.29,6,1.74,2.75,95.0,3300,5.785
688,0.62,1,0.96,7.85,210.0,1000,6.704
689,0.54,2,0.34,0.91,7.0,550,4.972
690,0.66,1,0.46,7.85,210.0,1000,4.967
691,0.3,7,1.31,1.3,39.0,1600,4.863
692,0.58,1,1.46,7.85,210.0,1000,5.53
693,0.62,1,0.96,7.85,210.0,1000,6.704
694,0.44,1,0.91,7.85,210.0,1000,4.993
695,0.5,2,0.88,0.91,7.0,550,5.026
696,0.61,1,0.91,7.85,210.0,1000,6.096
697,0.47,6,1.73,2.75,95.0,3300,5.467
698,0.29,6,1.74,2.75,95.0,3300,5.785
699,0.6,0,0.0,0.0,0.0,0,0.054
700,0.57,0,0.0,0.0,0.0,0,0.091
701,0.42,0,0.0,0.0,0.0,0,0.117
702,0.66,0,0.0,0.0,0.0,0,0.13
703,0.61,0,0.0,0.0,0.0,0,0.131
704,0.52,0,0.0,0.0,0.0,0,0.142
705,0.56,0,0.0,0.0,0.0,0,0.163
706,0.65,0,0.0,0.0,0.0,0,0.167
707,0.65,0,0.0,0.0,0.0,0,0.173
708,0.59,0,0.0,0.0,0.0,0,0.177
709,0.31,0,0.0,0.0,0.0,0,0.189
710,0.37,0,0.0,0.0,0.0,0,0.226
711,0.65,0,0.0,0.0,0.0,0,0.233
712,0.63,0,0.0,0.0,0.0,0,0.245
713,0.57,0,0.0,0.0,0.0,0,0.25
714,0.54,0,0.0,0.0,0.0,0,0.265
715,0.37,0,0.0,0.0,0.0,0,0.279
716,0.48,0,0.0,0.0,0.0,0,0.281
717,0.42,0,0.0,0.0,0.0,0,0.282
718,0.33,0,0.0,0.0,0.0,0,0.287
719,0.44,0,0.0,0.0,0.0,0,0.291
720,0.66,0,0.0,0.0,0.0,0,0.291
721,0.66,0,0.0,0.0,0.0,0,0.301
722,0.51,0,0.0,0.0,0.0,0,0.304
723,0.63,0,0.0,0.0,0.0,0,0.309
724,0.47,0,0.0,0.0,0.0,0,0.31
725,0.43,0,0.0,0.0,0.0,0,0.327
726,0.65,13,1.34,1.4,8.0,700,0.346
727,0.66,13,0.49,1.4,8.0,700,0.349
728,0.38,0,0.0,0.0,0.0,0,0.36
729,0.59,0,0.0,0.0,0.0,0,0.363
730,0.61,0,0.0,0.0,0.0,0,0.371
731,0.61,0,0.0,0.0,0.0,0,0.371
732,0.66,13,0.71,1.4,8.0,700,0.373
733,0.44,0,0.0,0.0,0.0,0,0.377
734,0.34,0,0.0,0.0,0.0,0,0.378
735,0.54,0,0.0,0.0,0.0,0,0.38
736,0.58,0,0.0,0.0,0.0,0,0.382
737,0.42,0,0.0,0.0,0.0,0,0.383
738,0.4,0,0.0,0.0,0.0,0,0.391
739,0.35,0,0.0,0.0,0.0,0,0.392
740,0.63,0,0.0,0.0,0.0,0,0.396
741,0.43,0,0.0,0.0,0.0,0,0.397
742,0.55,0,0.0,0.0,0.0,0,0.4
743,0.5,0,0.0,0.0,0.0,0,0.411
744,0.58,0,0.0,0.0,0.0,0,0.429
745,0.66,13,1.23,1.4,8.0,700,0.43
746,0.57,0,0.0,0.0,0.0,0,0.434
747,0.65,0,0.0,0.0,0.0,0,0.451
748,0.46,0,0.0,0.0,0.0,0,0.457
749,0.4,13,1.5,1.4,8.0,700,0.458
750,0.64,13,1.7,1.4,8.0,700,0.486
751,0.66,13,0.81,1.4,8.0,700,0.49
752,0.53,0,0.0,0.0,0.0,0,0.491
753,0.65,0,0.0,0.0,0.0,0,0.492
754,0.48,0,0.0,0.0,0.0,0,0.494
755,0.36,0,0.0,0.0,0.0,0,0.521
756,0.45,0,0.0,0.0,0.0,0,0.532
757,0.66,13,0.67,1.4,8.0,700,0.532
758,0.65,13,1.42,1.4,8.0,700,0.533
759,0.64,0,0.0,0.0,0.0,0,0.538
760,0.3,0,0.0,0.0,0.0,0,0.542
761,0.63,0,0.0,0.0,0.0,0,0.546
762,0.38,0,0.0,0.0,0.0,0,0.567
763,0.66,13,1.35,1.4,8.0,700,0.576
764,0.42,0,0.0,0.0,0.0,0,0.584
765,0.34,0,0.0,0.0,0.0,0,0.587
766,0.63,0,0.0,0.0,0.0,0,0.59
767,0.66,13,1.28,1.4,8.0,700,0.594
768,0.44,0,0.0,0.0,0.0,0,0.598
769,0.65,0,0.0,0.0,0.0,0,0.603
770,0.64,13,1.25,1.4,8.0,700,0.607
771,0.37,0,0.0,0.0,0.0,0,0.607
772,0.66,13,1.33,1.4,8.0,700,0.608
773,0.65,13,1.31,1.4,8.0,700,0.61
774,0.66,13,1.01,1.4,8.0,700,0.611
775,0.3,0,0.0,0.0,0.0,0,0.629
776,0.32,0,0.0,0.0,0.0,0,0.634
777,0.35,0,0.0,0.0,0.0,0,0.635
778,0.66,13,0.59,1.4,8.0,700,0.637
779,0.39,0,0.0,0.0,0.0,0,0.639
780,0.51,0,0.0,0.0,0.0,0,0.64
781,0.66,13,0.69,1.4,8.0,700,0.642
782,0.66,13,1.13,1.4,8.0,700,0.646
783,0.59,0,0.0,0.0,0.0,0,0.648
784,0.64,0,0.0,0.0,0.0,0,0.652
785,0.54,0,0.0,0.0,0.0,0,0.659
786,0.38,0,0.0,0.0,0.0,0,0.672
787,0.43,0,0.0,0.0,0.0,0,0.673
788,0.41,0,0.0,0.0,0.0,0,0.673
789,0.66,13,1.18,1.4,8.0,700,0.677
790,0.57,0,0.0,0.0,0.0,0,0.679
791,0.58,4,0.07,0.98,3000.0,132,0.689
792,0.66,13,1.48,1.4,8.0,700,0.695
793,0.57,0,0.0,0.0,0.0,0,0.705
794,0.66,13,1.29,1.4,8.0,700,0.714
795,0.44,0,0.0,0.0,0.0,0,0.717
796,0.45,0,0.0,0.0,0.0,0,0.721
797,0.65,13,1.36,1.4,8.0,700,0.726
798,0.59,10,0.06,1.14,5.15,16,0.726
799,0.49,0,0.0,0.0,0.0,0,0.733
800,0.65,13,1.07,1.4,8.0,700,0.734
801,0.56,0,0.0,0.0,0.0,0,0.736
802,0.66,13,1.42,1.4,8.0,700,0.74
803,0.59,13,1.23,1.4,8.0,700,0.746
804,0.65,13,1.41,1.4,8.0,700,0.754
805,0.66,10,0.1,1.14,5.15,16,0.77
806,0.65,10,0.15,1.14,5.15,16,0.77
807,0.33,0,0.0,0.0,0.0,0,0.772
808,0.45,0,0.0,0.0,0.0,0,0.776
809,0.6,10,0.12,1.14,5.15,16,0.781
810,0.59,13,1.86,1.4,8.0,700,0.784
811,0.5,0,0.0,0.0,0.0,0,0.785
812,0.46,0,0.0,0.0,0.0,0,0.785
813,0.29,0,0.0,0.0,0.0,0,0.788
814,0.29,0,0.0,0.0,0.0,0,0.799
815,0.49,0,0.0,0.0,0.0,0,0.809
816,0.37,0,0.0,0.0,0.0,0,0.81
817,0.65,0,0.0,0.0,0.0,0,0.813
818,0.66,13,1.49,1.4,8.0,700,0.816
819,0.51,13,1.62,1.4,8.0,700,0.817
820,0.66,13,1.36,1.4,8.0,700,0.82
821,0.65,13,1.57,1.4,8.0,700,0.83
822,0.66,0,0.0,0.0,0.0,0,0.83
823,0.64,10,0.01,1.14,5.15,16,0.852
824,0.66,13,1.4,1.4,8.0,700,0.863
825,0.63,10,0.15,1.14,5.15,16,0.881
826,0.66,13,1.35,1.4,8.0,700,0.882
827,0.64,13,1.21,1.4,8.0,700,0.882
828,0.66,13,1.96,1.4,8.0,700,0.894
829,0.65,10,0.09,1.14,5.15,16,0.906
830,0.55,0,0.0,0.0,0.0,0,0.906
831,0.64,13,1.38,1.4,8.0,700,0.909
832,0.65,13,1.6,1.4,8.0,700,0.916
833,0.64,10,0.14,1.14,5.15,16,0.921
834,0.65,13,0.99,1.4,8.0,700,0.937
835,0.63,4,0.06,0.98,3000.0,132,0.941
836,0.56,13,1.21,1.4,8.0,700,0.943
837,0.66,13,1.17,1.4,8.0,700,0.943
838,0.35,0,0.0,0.0,0.0,0,0.967
839,0.46,4,0.02,0.98,3000.0,132,0.968
840,0.56,12,0.68,0.91,7.0,620,0.978
841,0.65,10,0.12,1.14,5.15,16,0.982
842,0.66,10,0.05,1.14,5.15,16,0.987
843,0.46,4,0.03,0.98,3000.0,132,0.991
844,0.58,13,1.76,1.4,8.0,700,0.994
845,0.63,13,1.41,1.4,8.0,700,0.998
846,0.47,11,0.26,1.19,10.0,800,1.017
847,0.57,13,1.85,1.4,8.0,700,1.019
848,0.63,13,1.27,1.4,8.0,700,1.045
849,0.61,10,0.05,1.14,5.15,16,1.059
850,0.54,4,0.02,0.98,3000.0,132,1.064
851,0.63,4,0.03,0.98,3000.0,132,1.079
852,0.66,13,1.22,1.4,8.0,700,1.092
853,0.58,0,0.0,0.0,0.0,0,1.093
854,0.6,13,1.73,1.4,8.0,700,1.097
855,0.44,4,0.04,0.98,3000.0,132,1.102
856,0.55,0,0.0,0.0,0.0,0,1.108
857,0.66,13,1.66,1.4,8.0,700,1.114
858,0.54,13,1.44,1.4,8.0,700,1.12
859,0.65,13,1.77,1.4,8.0,700,1.12
860,0.66,13,2.0,1.4,8.0,700,1.12
861,0.59,4,0.12,0.98,3000.0,132,1.121
862,0.51,13,1.5,1.4,8.0,700,1.121
863,0.54,4,0.08,0.98,3000.0,132,1.123
864,0.66,10,0.26,1.14,5.15,16,1.13
865,0.39,4,0.1,0.98,3000.0,132,1.131
866,0.66,13,1.3,1.4,8.0,700,1.147
867,0.46,0,0.0,0.0,0.0,0,1.148
868,0.45,4,0.09,0.98,3000.0,132,1.154
869,0.66,13,1.35,1.4,8.0,700,1.158
870,0.62,13,1.49,1.4,8.0,700,1.159
871,0.44,0,0.0,0.0,0.0,0,1.163
872,0.64,13,1.21,1.4,8.0,700,1.163
873,0.63,0,0.0,0.0,0.0,0,1.165
874,0.45,4,0.12,0.98,3000.0,132,1.182
875,0.32,0,0.0,0.0,0.0,0,1.182
876,0.62,8,0.18,0.98,5.0,570,1.185
877,0.66,13,1.86,1.4,8.0,700,1.221
878,0.6,0,0.0,0.0,0.0,0,1.224
879,0.65,13,1.68,1.4,8.0,700,1.226
880,0.59,0,0.0,0.0,0.0,0,1.234
881,0.51,0,0.0,0.0,0.0,0,1.241
882,0.66,12,0.41,0.91,7.0,620,1.242
883,0.63,10,0.17,1.14,5.15,16,1.244
884,0.65,13,1.98,1.4,8.0,700,1.246
885,0.65,13,1.63,1.4,8.0,700,1.249
886,0.49,13,1.51,1.4,8.0,700,1.251
887,0.66,10,0.09,1.14,5.15,16,1.253
888,0.42,8,0.09,0.98,5.0,570,1.256
889,0.66,13,1.32,1.4,8.0,700,1.258
890,0.66,13,1.55,1.4,8.0,700,1.267
891,0.65,11,0.53,1.19,10.0,800,1.269
892,0.29,4,0.07,0.98,3000.0,132,1.287
893,0.61,5,0.31,1.34,2.0,450,1.303
894,0.66,13,1.53,1.4,8.0,700,1.305
895,0.29,4,0.16,0.98,3000.0,132,1.306
896,0.66,13,1.64,1.4,8.0,700,1.311
897,0.63,12,0.66,0.91,7.0,620,1.312
898,0.6,10,0.13,1.14,5.15,16,1.312
899,0.66,10,0.12,1.14,5.15,16,1.317
900,0.31,4,0.06,0.98,3000.0,132,1.323
901,0.66,10,0.14,1.14,5.15,16,1.325
902,0.66,13,2.0,1.4,8.0,700,1.336
903,0.66,13,1.48,1.4,8.0,700,1.34
904,0.66,13,1.41,1.4,8.0,700,1.341
905,0.48,0,0.0,0.0,0.0,0,1.347
906,0.59,11,0.22,1.19,10.0,800,1.348
907,0.33,4,0.04,0.98,3000.0,132,1.354
908,0.51,8,0.3,0.98,5.0,570,1.357
909,0.54,4,0.07,0.98,3000.0,132,1.357
910,0.57,13,1.63,1.4,8.0,700,1.358
911,0.58,8,0.36,0.98,5.0,570,1.362
912,0.62,13,1.2,1.4,8.0,700,1.365
913,0.66,10,0.08,1.14,5.15,16,1.368
914,0.6,13,1.2,1.4,8.0,700,1.368
915,0.62,3,0.3,0.91,3.5,500,1.37
916,0.66,13,1.34,1.4,8.0,700,1.372
917,0.65,4,0.09,0.98,3000.0,132,1.375
918,0.66,10,0.03,1.14,5.15,16,1.38
919,0.66,10,0.02,1.14,5.15,16,1.4
920,0.65,2,0.14,0.91,7.0,550,1.4
921,0.66,10,0.17,1.14,5.15,16,1.401
922,0.37,12,0.29,0.91,7.0,620,1.406
923,0.65,12,0.41,0.91,7.0,620,1.407
924,0.66,13,1.23,1.4,8.0,700,1.412
925,0.66,13,1.87,1.4,8.0,700,1.416
926,0.56,9,0.38,1.14,3.15,550,1.419
927,0.66,9,0.31,1.14,3.15,550,1.419
928,0.42,4,0.09,0.98,3000.0,132,1.429
929,0.66,12,0.6,0.91,7.0,620,1.441
930,0.66,10,0.25,1.14,5.15,16,1.445
931,0.65,11,0.17,1.19,10.0,800,1.452
932,0.65,13,1.41,1.4,8.0,700,1.452
933,0.58,4,0.03,0.98,3000.0,132,1.453
934,0.63,8,0.13,0.98,5.0,570,1.455
935,0.3,4,0.03,0.98,3000.0,132,1.456
936,0.65,10,0.16,1.14,5.15,16,1.46
937,0.65,13,1.71,1.4,8.0,700,1.465
938,0.66,13,1.73,1.4,8.0,700,1.468
939,0.54,7,0.37,1.3,39.0,1600,1.469
940,0.56,12,0.31,0.91,7.0,620,1.475
941,0.65,13,1.96,1.4,8.0,700,1.476
942,0.41,4,0.07,0.98,3000.0,132,1.481
943,0.66,13,1.43,1.4,8.0,700,1.486
944,0.31,4,0.16,0.98,3000.0,132,1.489
945,0.39,3,0.1,0.91,3.5,500,1.491
946,0.54,4,0.07,0.98,3000.0,132,1.494
947,0.57,11,0.59,1.19,10.0,800,1.506
948,0.29,4,0.12,0.98,3000.0,132,1.51
949,0.6,10,0.05,1.14,5.15,16,1.511
950,0.61,11,0.53,1.19,10.0,800,1.516
951,0.58,3,0.09,0.91,3.5,500,1.52
952,0.59,10,0.33,1.14,5.15,16,1.523
953,0.66,13,1.83,1.4,8.0,700,1.526
954,0.62,10,0.24,1.14,5.15,16,1.527
955,0.59,10,0.23,1.14,5.15,16,1.528
956,0.51,10,0.41,1.14,5.15,16,1.533
957,0.65,11,0.64,1.19,10.0,800,1.535
958,0.43,11,0.62,1.19,10.0,800,1.536
959,0.39,4,0.12,0.98,3000.0,132,1.536
960,0.65,13,1.65,1.4,8.0,700,1.54
961,0.66,13,1.54,1.4,8.0,700,1.543
962,0.56,8,0.41,0.98,5.0,570,1.552
963,0.66,13,1.39,1.4,8.0,700,1.554
964,0.49,12,0.72,0.91,7.0,620,1.56
965,0.59,4,0.03,0.98,3000.0,132,1.561
966,0.37,4,0.06,0.98,3000.0,132,1.567
967,0.65,9,0.27,1.14,3.15,550,1.575
968,0.66,13,1.66,1.4,8.0,700,1.578
969,0.65,10,0.04,1.14,5.15,16,1.58
970,0.66,4,0.03,0.98,3000.0,132,1.582
971,0.51,11,0.3,1.19,10.0,800,1.588
972,0.66,13,1.2,1.4,8.0,700,1.589
973,0.66,10,0.1,1.14,5.15,16,1.59
974,0.51,4,0.06,0.98,3000.0,132,1.59
975,0.58,5,0.36,1.34,2.0,450,1.593
976,0.65,10,0.14,1.14,5.15,16,1.596
977,0.56,12,0.96,0.91,7.0,620,1.598
978,0.65,9,0.58,1.14,3.15,550,1.602
979,0.66,10,0.15,1.14,5.15,16,1.605
980,0.3,4,0.05,0.98,3000.0,132,1.605
981,0.31,4,0.23,0.98,3000.0,132,1.613
982,0.3,7,0.27,1.3,39.0,1600,1.616
983,0.4,12,0.57,0.91,7.0,620,1.621
984,0.58,11,0.33,1.19,10.0,800,1.623
985,0.65,10,0.16,1.14,5.15,16,1.624
986,0.66,11,0.61,1.19,10.0,800,1.627
987,0.47,4,0.1,0.98,3000.0,132,1.628
988,0.63,10,0.17,1.14,5.15,16,1.628
989,0.54,8,0.26,0.98,5.0,570,1.629
990,0.63,2,0.03,0.91,7.0,550,1.633
991,0.66,10,0.22,1.14,5.15,16,1.635
992,0.6,4,0.1,0.98,3000.0,132,1.636
993,0.59,11,0.52,1.19,10.0,800,1.637
994,0.64,12,0.38,0.91,7.0,620,1.637
995,0.56,11,0.5,1.19,10.0,800,1.644
996,0.61,3,0.11,0.91,3.5,500,1.644
997,0.64,11,0.45,1.19,10.0,800,1.654
998,0.66,10,0.12,1.14,5.15,16,1.658
999,0.65,13,1.94,1.4,8.0,700,1.671
1000,0.66,13,1.39,1.4,8.0,700,1.677
1001,0.65,10,0.29,1.14,5.15,16,1.68
1002,0.55,10,0.37,1.14,5.15,16,1.684
1003,0.3,4,0.13,0.98,3000.0,132,1.684
1004,0.65,3,0.02,0.91,3.5,500,1.686
1005,0.65,13,1.88,1.4,8.0,700,1.688
1006,0.59,10,0.08,1.14,5.15,16,1.69
1007,0.29,4,0.04,0.98,3000.0,132,1.692
1008,0.32,4,0.13,0.98,3000.0,132,1.696
1009,0.57,8,0.15,0.98,5.0,570,1.697
1010,0.66,10,0.65,1.14,5.15,16,1.706
1011,0.63,9,0.29,1.14,3.15,550,1.715
1012,0.64,10,0.31,1.14,5.15,16,1.716
1013,0.66,10,0.28,1.14,5.15,16,1.722
1014,0.66,10,0.06,1.14,5.15,16,1.725
1015,0.35,4,0.03,0.98,3000.0,132,1.726
1016,0.3,4,0.2,0.98,3000.0,132,1.73
1017,0.64,8,0.21,0.98,5.0,570,1.73
1018,0.32,4,0.07,0.98,3000.0,132,1.731
1019,0.66,5,0.21,1.34,2.0,450,1.734
1020,0.52,10,0.29,1.14,5.15,16,1.736
1021,0.66,12,0.4,0.91,7.0,620,1.743
1022,0.38,4,0.14,0.98,3000.0,132,1.746
1023,0.62,12,0.56,0.91,7.0,620,1.754
1024,0.35,10,0.19,1.14,5.15,16,1.763
1025,0.44,4,0.12,0.98,3000.0,132,1.78
1026,0.66,5,0.09,1.34,2.0,450,1.788
1027,0.54,11,0.58,1.19,10.0,800,1.791
1028,0.29,4,0.23,0.98,3000.0,132,1.793
1029,0.56,7,0.57,1.3,39.0,1600,1.794
1030,0.66,10,0.3,1.14,5.15,16,1.796
1031,0.63,10,0.17,1.14,5.15,16,1.796
1032,0.66,11,0.37,1.19,10.0,800,1.806
1033,0.36,4,0.11,0.98,3000.0,132,1.811
1034,0.61,9,0.4,1.14,3.15,550,1.812
1035,0.63,12,0.74,0.91,7.0,620,1.812
1036,0.59,2,0.12,0.91,7.0,550,1.813
1037,0.62,13,1.54,1.4,8.0,700,1.814
1038,0.35,4,0.1,0.98,3000.0,132,1.815
1039,0.64,12,0.66,0.91,7.0,620,1.822
1040,0.56,9,0.45,1.14,3.15,550,1.826
1041,0.66,13,1.62,1.4,8.0,700,1.829
1042,0.66,3,0.26,0.91,3.5,500,1.834
